Date,rstar,g,z,output gap,real rate gap,interest,inflation,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1/1/2006,4.219152407,4.221266972,0.002326582,-1.375021906,-1.738570492,5.923333333,5.331714297,Parameter Point Estimates,,,,,,,,,,,,,,,,,,,
4/1/2006,4.032671376,4.054597064,-0.017659893,-1.116113883,-1.278116576,6.166666667,4.47500506,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,a_y1 + a_y2,,,,,,,,,
7/1/2006,4.161710343,4.148414076,0.017660766,-0.218221545,-1.334565944,6.64,3.815540018,0.692516376,-0.01651799,-0.076776331,0.318368564,0.192694944,2.657830682,2.422486536,0.603824709,0,0.998947911,0.675998386,,,,,,,,,
10/1/2006,4.375155905,4.323145126,0.056559111,0.316377427,-1.383347956,7.23,3.330508825,,,,,,,,,,,,,,,,,,,,
1/1/2007,4.319057179,4.117675788,0.205713551,1.28673214,-1.634495095,7.763333333,8.694031094,,,,,,,,,,,,,,,,,,,,
4/1/2007,4.320991374,3.974000506,0.351171868,1.710095993,-1.997206377,8.463333333,8.718113409,,,,,,,,,,,,,,,,,,,,
7/1/2007,4.945453851,4.61058679,0.339717807,1.655151237,-1.833792,9.176666667,3.517365936,,,,,,,,,,,,,,,,,,,,
10/1/2007,5.226737863,5.033610233,0.198423433,1.123521872,-1.945270921,9.26,2.984621797,,,,,,,,,,,,,,,,,,,,
1/1/2008,4.94362038,4.60006401,0.348396045,0.970718666,-1.421669854,9.516666667,8.758763418,,,,,,,,,,,,,,,,,,,,
4/1/2008,4.856457916,4.534252684,0.326975668,0.618768941,-0.625117875,9.666666667,6.480555349,,,,,,,,,,,,,,,,,,,,
7/1/2008,4.71964682,4.686704494,0.037873155,-0.0617278,-0.155750717,9.951398333,3.32606836,,,,,,,,,,,,,Correlation,,,,,,,
10/1/2008,3.773454899,4.122954074,-0.345161462,-1.730875655,0.261827097,9.766412667,4.359135557,,,,,,,,,,,,,"r*,g",0.535469353,,,,,,
1/1/2009,3.46936984,3.65146228,-0.178250778,-1.619645853,-0.243259589,8.573755,7.224819732,,,,,,,,,,,,,"r*, interest",0.672912259,,,,,,
4/1/2009,3.268274263,3.56143008,-0.289408877,-1.483175777,-2.233488956,5.977068667,4.859109789,,,,,,,,,,,,,"r*, inflation",0.755537607,,,,,,
7/1/2009,2.820609878,3.643639869,-0.819196559,-1.738576347,-3.129658148,4.340615333,2.155589334,,,,,,,,,,,,,,,,,,,,
10/1/2009,2.1805706,3.72086338,-1.536378102,-2.066395054,-2.297623693,3.699742667,1.027664183,,,,,,,,,,,,,,,,,,,,
1/1/2010,2.185627958,3.333817927,-1.144682497,-1.273033734,-2.172965171,3.345345,5.288365547,,,,,,,,,,,,,,,,,,,,
4/1/2010,2.12326124,3.385798438,-1.258975038,-0.766710558,-1.756355398,3.179742333,2.779726902,,,,,,,,,,,,,,,,,,,,
7/1/2010,1.697739897,3.368245551,-1.66696196,-0.97361805,-1.269391617,3.034463,1.328702247,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,,,,
10/1/2010,1.811279785,3.699556975,-1.884384928,-0.243813054,-1.421434701,3.027173667,1.152519634,lambda_g,0.317812241,,,-331.0882642,,,,,,,,,,,,,,,
1/1/2011,2.7768397,3.668434865,-0.887735647,1.204486676,-2.318479267,3.140887667,5.469160154,lambda_z,0.051476936,,,,,,,,,,,,,,,,,,
4/1/2011,2.862979585,3.890751828,-1.023678827,1.257525642,-1.637078364,3.836802667,2.493223747,,,,,,,,,,,,,,,,,,,,
7/1/2011,3.219628721,4.228843939,-1.0047661,1.671195136,-1.634873858,4.480038333,2.466230348,,,,,,,,,,,,,,,,,,,,
10/1/2011,3.240655038,4.259210375,-1.01407427,1.330661094,-1.954248404,4.672709333,3.116596548,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
1/1/2012,4.205917998,4.241443021,-0.031062649,2.10786382,-2.726756076,5.020932333,6.091031003,Initial State Vector,,,,,,,,,,,,,,,,,,,
4/1/2012,3.595462696,4.342625241,-0.742593719,1.061601581,-1.828514051,5.273185667,2.351090188,1181.062924,1180.001892,1178.940608,1.061031814,1.061283667,1.061378255,0,0,0,,,,,,,,,,,
7/1/2012,2.53135437,4.157957179,-1.622228269,-0.429538234,-0.793231134,5.073076,1.781093317,,,,,,,,,,,,,,,,,,,,
10/1/2012,2.031288361,4.299327563,-2.263515928,-0.65064843,-0.309112232,4.654879667,1.50759964,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
1/1/2013,2.398695752,4.189417983,-1.786314592,-0.139587453,-0.816521194,3.952646333,3.84210396,0.759394361,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2013,3.420058785,4.635536794,-1.210601014,1.389270378,-2.831840157,3.168192,3.18909657,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
7/1/2013,2.701696068,4.578764001,-1.872250667,0.400805035,-1.990407677,3.247167667,1.604716932,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
10/1/2013,2.298227204,4.758103571,-2.454870421,0.20340564,-1.490833493,3.255630667,1.157030362,0.2,0,0,0.236300491,0.2,0,0,0,0,,,,,,,,,,,
1/1/2014,3.054837844,4.673463869,-1.613709126,0.883736668,-2.354912315,3.216093769,4.113829093,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
4/1/2014,3.134943218,4.386783965,-1.247225462,0.565626482,-2.294099411,3.523331759,3.854375424,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
7/1/2014,2.806920604,4.426293317,-1.61471586,0.293234322,-1.473993591,4.155290247,2.16421806,0,0,0,0,0,0,2.899632267,0.2,0,,,,,,,,,,,
10/1/2014,2.518932986,4.448045601,-1.924432877,0.094620538,-1.103895692,4.504242888,2.224399796,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
1/1/2015,3.36110084,4.122122175,-0.756684498,0.550359099,-2.281879075,4.515079667,5.500438326,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
4/1/2015,4.082549291,3.900877392,0.185775968,0.919632441,-3.448077068,4.518996333,5.649040257,,,,,,,,,,,,,,,,,,,,
7/1/2015,3.836017107,3.969681946,-0.129488381,0.727476228,-3.532239125,4.546154333,3.595627026,,,,,,,,,,,,,,,,,,,,
10/1/2015,4.128287471,3.510362465,0.621618218,0.503330057,-4.153724515,5.191564333,6.122899902,,,,,,,,,,,,,,,,,,,,
1/1/2016,6.288458184,3.128731234,3.163018653,2.021107163,-6.593211076,6.069019667,10.12752305,,,,,,,,,,,,,,,,,,,,
4/1/2016,6.324346988,3.085393763,3.242199333,1.846932867,-6.159005677,6.948258,7.285616781,,,,,,,,,,,,,,,,,,,,
7/1/2016,4.85980952,3.207543521,1.65564062,0.668314596,-4.185398433,7.665943333,4.430089253,,,,,,,,,,,,,,,,,,,,
10/1/2016,2.980653915,3.405813795,-0.421576662,-0.523486196,-1.5404373,7.720996333,3.279889788,,,,,,,,,,,,,,,,,,,,
1/1/2017,3.749967833,2.919455373,0.833583986,-0.134072349,-2.231490641,7.383747,8.465483409,,,,,,,,,,,,,,,,,,,,
4/1/2017,3.394254325,2.822085323,0.575138086,-0.321933529,-2.302022145,6.578898,5.77120083,,,,,,,,,,,,,,,,,,,,
7/1/2017,1.155206283,3.079273477,-1.920827525,-1.547835738,-0.33405732,5.506966,1.226694123,,,,,,,,,,,,,,,,,,,,
10/1/2017,-0.366392118,3.005080179,-3.368310686,-2.316187614,1.010196502,4.982165667,1.89006677,,,,,,,,,,,,,,,,,,,,
1/1/2018,0.306387711,2.588123772,-2.279013126,-1.606837995,0.584813704,4.566865,5.814692617,,,,,,,,,,,,,,,,,,,,
4/1/2018,0.721603552,2.619682345,-1.895322654,-0.76628589,0.323744602,4.307178,4.115865872,,,,,,,,,,,,,,,,,,,,
7/1/2018,-0.282492628,2.756330122,-3.035922846,-1.143302069,1.257226365,4.255877667,1.303950459,,,,,,,,,,,,,,,,,,,,
10/1/2018,-1.207038088,2.644226215,-3.848482342,-1.709994596,2.208453676,4.25374,1.774788698,,,,,,,,,,,,,,,,,,,,
1/1/2019,0.261911224,2.438032723,-2.173556472,-0.448147038,0.812786437,4.255531392,5.528729894,,,,,,,,,,,,,,,,,,,,
4/1/2019,1.118817591,2.393119554,-1.271784189,0.24520833,-0.185460474,4.260797073,4.702290775,,,,,,,,,,,,,,,,,,,,
7/1/2019,0.585172757,2.605721173,-2.017806966,0.024481382,0.13619367,4.263298283,2.161918059,,,,,,,,,,,,,,,,,,,,
10/1/2019,-0.231087131,2.476828799,-2.705310087,-0.763517271,0.753117208,4.257713931,2.54979669,,,,,,,,,,,,,,,,,,,,
1/1/2020,-0.254639907,1.82970428,-2.082419175,-1.371965513,0.856797851,4.230891,5.1009267,,,,,,,,,,,,,,,,,,,,
4/1/2020,-9.404924701,-2.423291245,-6.984182973,-12.87185571,9.917177767,3.219965333,1.018207618,,,,,,,,,,,,,,,,,,,,
7/1/2020,-6.186479977,-0.683498546,-5.503700533,-5.285587023,6.167191744,2.226326667,0.313528591,,,,,,,,,,,,,,,,,,,,
10/1/2020,-3.902059782,0.349620954,-4.251312903,-0.986879253,3.616065274,1.753592333,1.725684453,,,,,,,,,,,,,,,,,,,,
1/1/2021,-1.169352335,1.081807134,-2.250021312,2.026781529,1.16722028,1.735008333,3.891140892,,,,,,,,,,,,,,,,,,,,
4/1/2021,-0.427295817,0.447816497,-0.874641172,1.144644635,-0.549961452,1.750853667,4.982089808,,,,,,,,,,,,,,,,,,,,
7/1/2021,2.665052663,1.665825416,1.000979844,4.467107897,-4.669305414,1.768146,4.490679849,,,,,,,,,,,,,,,,,,,,
10/1/2021,3.444665687,2.778210756,0.669377855,5.313009332,-5.104020623,2.434816333,3.01277453,,,,,,,,,,,,,,,,,,,,
1/1/2022,8.742350663,2.55915789,6.185885235,7.656353229,-11.37705171,3.748553333,13.04747333,,,,,,,,,,,,,,,,,,,,
4/1/2022,11.81975508,2.89492599,8.927874807,8.668077034,-14.20584373,5.740934667,11.95716555,,,,,,,,,,,,,,,,,,,,
7/1/2022,12.4908216,3.347132922,9.147210157,8.002465046,-13.45809553,8.527088667,9.960036971,,,,,,,,,,,,,,,,,,,,
10/1/2022,11.28017421,3.216229451,8.067328514,5.459407482,-11.63557656,10.81379433,9.712110902,,,,,,,,,,,,,,,,,,,,
1/1/2023,15.1193271,3.363030331,11.75983497,7.528657315,-14.82474199,12.470718,17.07521816,,,,,,,,,,,,,,,,,,,,
4/1/2023,13.08642821,3.460289825,9.629778921,4.918110561,-11.83682916,13.18801167,11.00628442,,,,,,,,,,,,,,,,,,,,
